(-1.046874, -0.339617, 2.148818)
(-1.077166, -0.205694, 2.113805)
(-1.096107, -0.227018, 2.077750)
(-1.038940, -0.475193, 1.203225)
(-1.109813, -0.310500, 1.279872)
(-1.086868, -0.292465, 1.252225)
(-0.900283, -0.067558, 2.391279)
(-0.990585, -0.073249, 2.360940)
(-1.003278, -0.082250, 2.353684)
(-0.828185, -0.250831, 2.402223)
(-0.813718, -0.208925, 2.407021)
(-0.888593, -0.249856, 2.382186)
(-0.813718, -0.208925, 2.407021)
(-1.001238, -0.223475, 2.338290)
(-0.888593, -0.249856, 2.382186)
(-0.888593, -0.249856, 2.382186)
(-1.001238, -0.223475, 2.338290)
(-0.973784, -0.249983, 2.346060)
(-1.001238, -0.223475, 2.338290)
(-0.990609, -0.241680, 2.340917)
(-0.973784, -0.249983, 2.346060)
(-0.668320, 0.608395, -1.131786)
(-0.677781, 0.590568, -1.323391)
(-0.677763, 0.556919, -1.340435)
(-0.687346, 0.533753, -1.530719)
(-0.687205, 0.505443, -1.549083)
(-0.696666, 0.487616, -1.740688)
(-0.696647, 0.453967, -1.757731)
(-0.706231, 0.430801, -1.948015)
(-0.706090, 0.402491, -1.966379)
(-0.715551, 0.384665, -2.157984)
(-0.715532, 0.351015, -2.175028)
(1.046874, -0.339617, 2.148818)
(1.096107, -0.227018, 2.077750)
(1.077166, -0.205694, 2.113805)
(1.038940, -0.475193, 1.203225)
(1.086868, -0.292465, 1.252225)
(1.109813, -0.310500, 1.279872)
(0.900283, -0.067558, 2.391279)
(1.003278, -0.082250, 2.353684)
(0.990585, -0.073249, 2.360940)
(0.828185, -0.250831, 2.402223)
(0.888593, -0.249856, 2.382186)
(0.813718, -0.208925, 2.407021)
(0.813718, -0.208925, 2.407021)
(0.888593, -0.249856, 2.382186)
(1.001238, -0.223475, 2.338290)
(0.888593, -0.249856, 2.382186)
(0.973784, -0.249983, 2.346060)
(1.001238, -0.223475, 2.338290)
(1.001238, -0.223475, 2.338290)
(0.973784, -0.249983, 2.346060)
(0.990609, -0.241680, 2.340917)
(0.668320, 0.608395, -1.131786)
(0.677763, 0.556919, -1.340435)
(0.677781, 0.590568, -1.323391)
(0.687205, 0.505443, -1.549083)
(0.687346, 0.533753, -1.530719)
(0.696647, 0.453967, -1.757731)
(0.696666, 0.487616, -1.740688)
(0.706090, 0.402491, -1.966379)
(0.706231, 0.430801, -1.948015)
(0.715532, 0.351015, -2.175028)
(0.715551, 0.384665, -2.157984)
(0.000000, 0.206557, 0.882752)
(-0.267727, 0.190816, 1.125873)
(0.000000, 0.195300, 1.098574)
(-0.260399, 0.204894, 0.871273)
(-0.484630, 0.199219, 0.840891)
(-0.508740, 0.183378, 1.107237)
(-0.271154, 0.178012, 1.461146)
(-0.736922, 0.170927, 1.064832)
(-0.696910, 0.190128, 0.793299)
(-0.550209, 0.169804, 1.461146)
(-0.275881, 0.158965, 1.811777)
(-0.765185, 0.155336, 1.400755)
(-0.765185, 0.133897, 1.770131)
(-0.554936, 0.150758, 1.806462)
(-0.765732, 0.103451, 2.073968)
(-0.995802, 0.167475, 1.011130)
(-0.951385, 0.179897, 0.686582)
(-1.004469, 0.168522, 0.689876)
(-1.006385, 0.167912, 0.602138)
(-0.995239, 0.161701, 1.365450)
(-0.765185, 0.155336, 1.400755)
(-0.996888, 0.149845, 1.740704)
(-0.765185, 0.133897, 1.770131)
(-0.997167, 0.123738, 2.066513)
(-0.765732, 0.103451, 2.073968)
(-0.997948, 0.080846, 2.296082)
(-0.762996, 0.046595, 2.496250)
(-1.000402, -0.031494, 2.548016)
(-0.861205, -0.022721, 2.672491)
(-0.267727, 0.190816, 1.125873)
(-0.224910, 0.216319, 1.227908)
(0.000000, 0.220935, 1.208827)
