Triangle 51: (0.59, 1.00, -0.81), (0.49, 1.00, -0.84), (0.39, 1.00, -0.81)
Triangle 52: (-0.59, 1.00, -0.81), (-0.65, 1.00, -0.73), (-0.39, 1.00, -0.81)
Triangle 53: (-0.95, 1.00, -0.31), (-0.95, 1.00, -0.21), (-0.69, 1.00, -0.39)
Triangle 54: (-0.95, 1.00, 0.31), (-0.89, 1.00, 0.39), (-0.79, 1.00, 0.42)
Triangle 55: (0.00, 1.00, 1.00), (0.10, 1.00, 0.97), (0.16, 1.00, 0.88)
Triangle 56: (-0.95, 1.00, 0.31), (-0.79, 1.00, 0.42), (-0.63, 1.00, 0.31)
Triangle 57: (-0.59, 1.00, -0.81), (-0.54, 1.00, -0.83), (-0.54, 0.67, -0.83)
Triangle 58: (-0.31, 1.00, -0.95), (-0.26, 1.00, -0.96), (-0.26, 0.67, -0.96)
Triangle 59: (-0.31, -1.00, -0.95), (-0.26, -1.00, -0.96), (-0.21, -1.00, -0.95)
Triangle 60: (0.31, -1.00, -0.95), (0.36, -1.00, -0.93), (0.21, -1.00, -0.95)
Triangle 61: (0.59, -1.00, -0.81), (0.62, -1.00, -0.77), (0.44, -1.00, -0.83)
Triangle 62: (0.81, -1.00, -0.59), (0.83, -1.00, -0.54), (0.84, -1.00, -0.49)
Triangle 63: (1.00, -1.00, 0.00), (0.99, -1.00, 0.05), (0.97, -1.00, 0.10)
Triangle 64: (0.81, -1.00, 0.59), (0.77, -1.00, 0.62), (0.62, -1.00, 0.65)
Triangle 65: (0.59, -1.00, 0.81), (0.54, -1.00, 0.83), (0.44, -1.00, 0.83)
Triangle 66: (0.31, -1.00, 0.95), (0.26, -1.00, 0.96), (0.21, -1.00, 0.95)
Triangle 67: (-0.31, -1.00, 0.95), (-0.36, -1.00, 0.93), (-0.39, -1.00, 0.89)
Triangle 68: (-0.81, -1.00, 0.59), (-0.83, -1.00, 0.54), (-0.84, -1.00, 0.49)
Triangle 69: (-1.00, -1.00, 0.00), (-0.99, -1.00, -0.05), (-0.97, -1.00, -0.10)
Triangle 70: (-0.81, -1.00, -0.59), (-0.77, -1.00, -0.62), (-0.73, -1.00, -0.65)
Triangle 71: (0.81, -1.00, -0.59), (0.84, -1.00, -0.49), (0.81, -1.00, -0.39)
Triangle 72: (-0.31, -1.00, 0.95), (-0.39, -1.00, 0.89), (-0.12, -1.00, 0.89)
Triangle 73: (-0.81, -1.00, 0.59), (-0.84, -1.00, 0.49), (-0.54, -1.00, 0.59)
Triangle 74: (-1.00, -1.00, 0.00), (-0.97, -1.00, -0.10), (-0.88, -1.00, -0.16)
Triangle 75: (-0.31, -1.00, -0.95), (-0.12, -1.00, -0.89), (-0.12, -1.00, -0.69)
Triangle 76: (0.25, -1.00, -0.18), (0.44, -1.00, -0.12), (0.44, -1.00, 0.07)
Triangle 77: (0.25, -1.00, -0.18), (0.25, -1.00, -0.38), (0.44, -1.00, -0.12)
Triangle 78: (0.25, -1.00, -0.77), (0.44, -1.00, -0.71), (0.44, -1.00, -0.51)
Triangle 79: (-0.65, -1.00, -0.48), (-0.62, -1.00, -0.57), (-0.54, -1.00, -0.63)
Triangle 80: (-0.65, -1.00, -0.48), (-0.74, -1.00, -0.41), (-0.62, -1.00, -0.57)
Triangle 81: (-0.90, -1.00, -0.29), (-0.87, -1.00, -0.39), (-0.79, -1.00, -0.45)
Triangle 82: (0.00, -1.00, 0.59), (-0.03, -1.00, 0.49), (0.27, -1.00, 0.59)
Triangle 83: (0.00, -1.00, 0.59), (-0.30, -1.00, 0.49), (-0.03, -1.00, 0.49)
Triangle 84: (-0.90, -1.00, 0.29), (-0.94, -1.00, 0.20), (-0.63, -1.00, 0.29)
Triangle 85: (0.25, -1.00, 0.77), (0.17, -1.00, 0.71), (0.44, -1.00, 0.71)
Triangle 86: (0.25, -1.00, 0.77), (-0.02, -1.00, 0.77), (0.17, -1.00, 0.71)
Triangle 87: (-0.56, -1.00, 0.77), (-0.64, -1.00, 0.71), (-0.37, -1.00, 0.71)
Triangle 88: (0.81, -1.00, 0.00), (0.84, -1.00, 0.10), (0.81, -1.00, 0.20)
Triangle 89: (0.81, -1.00, 0.00), (0.84, -1.00, -0.10), (0.84, -1.00, 0.10)
Triangle 90: (0.90, -1.00, -0.29), (0.94, -1.00, -0.20), (0.90, -1.00, -0.10)
Triangle 91: (-0.56, -1.00, -0.77), (-0.52, -1.00, -0.81), (-0.48, -1.00, -0.83)
Triangle 92: (-0.56, -1.00, -0.77), (-0.61, -1.00, -0.75), (-0.52, -1.00, -0.81)
Triangle 93: (-0.70, -1.00, -0.70), (-0.66, -1.00, -0.74), (-0.62, -1.00, -0.76)
Triangle 94: (-0.90, -1.00, -0.29), (-0.90, -1.00, -0.35), (-0.87, -1.00, -0.39)
Triangle 95: (-0.90, -1.00, -0.29), (-0.93, -1.00, -0.25), (-0.90, -1.00, -0.35)
Triangle 96: (-0.98, -1.00, -0.15), (-0.97, -1.00, -0.21), (-0.94, -1.00, -0.25)
Triangle 97: (-0.90, -1.00, 0.29), (-0.93, -1.00, 0.25), (-0.94, -1.00, 0.20)
Triangle 98: (-0.90, -1.00, 0.29), (-0.90, -1.00, 0.35), (-0.93, -1.00, 0.25)
Triangle 99: (-0.88, -1.00, 0.45), (-0.90, -1.00, 0.40), (-0.91, -1.00, 0.35)
Triangle 100: (-0.56, -1.00, 0.77), (-0.61, -1.00, 0.75), (-0.64, -1.00, 0.71)
Triangle 101: (-0.56, -1.00, 0.77), (-0.52, -1.00, 0.81), (-0.61, -1.00, 0.75)
Triangle 102: (-0.45, -1.00, 0.88), (-0.49, -1.00, 0.86), (-0.53, -1.00, 0.82)
Triangle 103: (0.00, -1.00, 0.95), (-0.05, -1.00, 0.96), (-0.10, -1.00, 0.95)
Triangle 104: (0.00, -1.00, 0.95), (0.05, -1.00, 0.96), (-0.05, -1.00, 0.96)
Triangle 105: (0.15, -1.00, 0.98), (0.10, -1.00, 0.98), (0.05, -1.00, 0.98)
Triangle 106: (0.14, -1.00, 0.88), (0.09, -1.00, 0.90), (-0.01, -1.00, 0.90)
Triangle 107: (0.14, -1.00, 0.88), (0.24, -1.00, 0.88), (0.09, -1.00, 0.90)
Triangle 108: (0.45, -1.00, 0.88), (0.40, -1.00, 0.90), (0.30, -1.00, 0.90)
Triangle 109: (0.25, -1.00, 0.77), (0.21, -1.00, 0.81), (0.06, -1.00, 0.83)
Triangle 110: (0.25, -1.00, 0.77), (0.40, -1.00, 0.75), (0.21, -1.00, 0.81)
Triangle 111: (0.70, -1.00, 0.70), (0.66, -1.00, 0.74), (0.51, -1.00, 0.76)
Triangle 112: (0.90, -1.00, 0.29), (0.90, -1.00, 0.35), (0.87, -1.00, 0.39)
Triangle 113: (0.90, -1.00, 0.29), (0.93, -1.00, 0.25), (0.90, -1.00, 0.35)
Triangle 114: (0.98, -1.00, 0.15), (0.97, -1.00, 0.21), (0.94, -1.00, 0.25)
Triangle 115: (0.90, -1.00, -0.29), (0.93, -1.00, -0.25), (0.94, -1.00, -0.20)
Triangle 116: (0.90, -1.00, -0.29), (0.90, -1.00, -0.35), (0.93, -1.00, -0.25)
Triangle 117: (0.88, -1.00, -0.45), (0.90, -1.00, -0.40), (0.91, -1.00, -0.35)
Triangle 118: (0.14, -1.00, -0.88), (0.18, -1.00, -0.84), (-0.01, -1.00, -0.90)
Triangle 119: (0.14, -1.00, -0.88), (0.33, -1.00, -0.82), (0.18, -1.00, -0.84)
Triangle 120: (0.70, -1.00, -0.70), (0.74, -1.00, -0.66), (0.55, -1.00, -0.72)
Triangle 121: (0.00, -1.00, -0.95), (0.05, -1.00, -0.93), (-0.10, -1.00, -0.95)
Triangle 122: (0.00, -1.00, -0.95), (0.15, -1.00, -0.93), (0.05, -1.00, -0.93)
Triangle 123: (0.45, -1.00, -0.88), (0.49, -1.00, -0.86), (0.35, -1.00, -0.88)
Triangle 124: (0.00, -1.00, -0.95), (0.05, -1.00, -0.96), (0.10, -1.00, -0.95)
Triangle 125: (0.00, -1.00, -0.95), (-0.05, -1.00, -0.96), (0.05, -1.00, -0.96)
Triangle 126: (-0.15, -1.00, -0.98), (-0.10, -1.00, -0.98), (-0.05, -1.00, -0.98)
Triangle 127: (-0.15, 0.00, -0.98), (-0.10, 0.00, -0.98), (-0.10, -0.33, -0.98)
Triangle 128: (-0.15, 0.00, -0.98), (-0.15, 0.33, -0.98), (-0.10, 0.00, -0.98)
Triangle 129: (-0.15, 1.00, -0.98), (-0.10, 1.00, -0.98), (-0.10, 0.67, -0.98)
Triangle 130: (-0.45, 0.00, -0.88), (-0.40, 0.00, -0.90), (-0.40, -0.33, -0.90)
Triangle 131: (-0.45, 0.00, -0.88), (-0.45, 0.33, -0.88), (-0.40, 0.00, -0.90)
Triangle 132: (-0.45, 1.00, -0.88), (-0.40, 1.00, -0.90), (-0.40, 0.67, -0.90)
Triangle 133: (0.00, 1.00, 0.31), (0.16, 1.00, 0.42), (0.32, 1.00, 0.31)
Triangle 134: (0.00, 1.00, 0.31), (-0.16, 1.00, 0.42), (0.16, 1.00, 0.42)
Triangle 135: (-0.48, 1.00, 0.65), (-0.32, 1.00, 0.77), (-0.16, 1.00, 0.65)
Triangle 136: (0.48, 1.00, 0.65), (0.57, 1.00, 0.62), (0.63, 1.00, 0.54)
Triangle 137: (0.48, 1.00, 0.65), (0.41, 1.00, 0.74), (0.57, 1.00, 0.62)
Triangle 138: (0.29, 1.00, 0.90), (0.39, 1.00, 0.87), (0.45, 1.00, 0.79)
Triangle 139: (-0.48, 1.00, 0.65), (-0.41, 1.00, 0.74), (-0.32, 1.00, 0.77)
Triangle 140: (-0.48, 1.00, 0.65), (-0.57, 1.00, 0.62), (-0.41, 1.00, 0.74)
Triangle 141: (-0.77, 1.00, 0.56), (-0.71, 1.00, 0.64), (-0.61, 1.00, 0.67)
Triangle 142: (-0.18, 1.00, -0.56), (-0.18, 1.00, -0.46), (0.07, 1.00, -0.64)
Triangle 143: (-0.18, 1.00, -0.56), (-0.44, 1.00, -0.37), (-0.18, 1.00, -0.46)
Triangle 144: (-0.95, 1.00, 0.00), (-0.95, 1.00, 0.10), (-0.69, 1.00, -0.08)
Triangle 145: (0.00, 1.00, -0.81), (-0.06, 1.00, -0.73), (0.20, 1.00, -0.81)
Triangle 146: (0.00, 1.00, -0.81), (-0.26, 1.00, -0.73), (-0.06, 1.00, -0.73)
Triangle 147: (-0.77, 1.00, -0.56), (-0.83, 1.00, -0.48), (-0.57, 1.00, -0.56)
Triangle 148: (0.00, 1.00, -0.81), (-0.10, 1.00, -0.84), (-0.20, 1.00, -0.81)
Triangle 149: (0.00, 1.00, -0.81), (0.10, 1.00, -0.84), (-0.10, 1.00, -0.84)
Triangle 150: (0.29, 1.00, -0.90), (0.20, 1.00, -0.94), (0.10, 1.00, -0.90)
