0,-1,-1
0,1,-1
0.309017,-1,-0.951057
0.309017,1,-0.951057
0.587785,-1,-0.809017
0.587785,1,-0.809017
0.809017,-1,-0.587785
0.809017,1,-0.587785
0.951057,-1,-0.309017
0.951057,1,-0.309017
1,-1,0
1,1,0
0.951057,-1,0.309017
0.951057,1,0.309017
0.809017,-1,0.587785
0.809017,1,0.587785
0.587785,-1,0.809017
0.587785,1,0.809017
0.309017,-1,0.951057
0.309017,1,0.951057
0,-1,1
0,1,1
-0.309017,-1,0.951057
-0.309017,1,0.951057
-0.587785,-1,0.809017
-0.587785,1,0.809017
-0.809017,-1,0.587785
-0.809017,1,0.587785
-0.951057,-1,0.309017
-0.951057,1,0.309017
-1,-1,0
-1,1,0
-0.951057,-1,-0.309017
-0.951057,1,-0.309017
-0.809017,-1,-0.587785
-0.809017,1,-0.587785
-0.587785,-1,-0.809017
-0.587785,1,-0.809017
-0.309017,-1,-0.951057
-0.309017,1,-0.951057
